MeasurementClassName,AttributeName,Cardinality,Range,Description
ASLHeightMeasurement,asl_height_um,single,QuantityValue,Airway surface liquid height in micrometers
ASLHeightMeasurement,culture_density,single,QuantityValue,Cell culture density per square centimeter
ASLHeightMeasurement,culture_size,single,QuantityValue,Size of the culture well or surface area
ASLHeightMeasurement,description,single,string,A detailed description
ASLHeightMeasurement,donor_characteristics,single,string,"Characteristics of cell donors (e.g., disease state, age)"
ASLHeightMeasurement,evaporation_prevention,single,EvaporationControl,Method used to prevent evaporation
ASLHeightMeasurement,id,single,uriorcurie,A unique identifier
ASLHeightMeasurement,imaging_protocol,single,ImagingProtocol,Imaging protocol and parameters
ASLHeightMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
ASLHeightMeasurement,method_assay,single,Assay,The method or assay used
ASLHeightMeasurement,number_of_samples,single,integer,Number of sampling areas or technical replicates
ASLHeightMeasurement,periciliary_layer_depth,single,QuantityValue,Depth of periciliary layer (liquid around the cilia) in micrometers - low depth indicates disease phenotype
ASLHeightMeasurement,protocol_notes,single,string,Protocol or SOP notes
ASLHeightMeasurement,sampling_duration,single,QuantityValue,Duration of the sampling period
ASLHeightMeasurement,sampling_method,single,string,Method for sampling areas of the culture
ASLHeightMeasurement,timing_from_wash,single,QuantityValue,Time elapsed since last apical wash
BALFSputumMeasurement,cell_free_dna,single,QuantityValue,Cell-free DNA measurement
BALFSputumMeasurement,cytokine_level,multiple,string,Cytokine and chemokine levels
BALFSputumMeasurement,description,single,string,A detailed description
BALFSputumMeasurement,id,single,uriorcurie,A unique identifier
BALFSputumMeasurement,inflammatory_cell_profile,single,InflammatoryCellProfile,Inflammatory cell type profile
BALFSputumMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
BALFSputumMeasurement,method_assay,single,Assay,The method or assay used
BALFSputumMeasurement,microbiome_analysis,single,MicrobiomeAnalysis,Microbiome composition analysis
BALFSputumMeasurement,protein_concentration,single,QuantityValue,Total protein concentration
BALFSputumMeasurement,protocol_notes,single,string,Protocol or SOP notes
BALFSputumMeasurement,sample_collection_details,single,SampleCollection,Sample collection protocol details
CFTRFunctionMeasurement,cell_culture_details,single,CellCultureConditions,Detailed cell culture conditions
CFTRFunctionMeasurement,cftr_specific_current,single,QuantityValue,CFTR-mediated chloride secretory current
CFTRFunctionMeasurement,description,single,string,A detailed description
CFTRFunctionMeasurement,id,single,uriorcurie,A unique identifier
CFTRFunctionMeasurement,inhibitor_sensitive_current,single,QuantityValue,Inhibitor-sensitive current measurement
CFTRFunctionMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
CFTRFunctionMeasurement,method_assay,single,Assay,The method or assay used
CFTRFunctionMeasurement,protocol_notes,single,string,Protocol or SOP notes
CiliaBeatFrequencyMeasurement,active_area_percentage,single,QuantityValue,Percentage of active ciliated area
CiliaBeatFrequencyMeasurement,beat_frequency_hz,single,QuantityValue,Ciliary beat frequency in Hz
CiliaBeatFrequencyMeasurement,cell_type_ratios,single,string,Ratios between different cell types
CiliaBeatFrequencyMeasurement,cilia_length,single,QuantityValue,Length of cilia
CiliaBeatFrequencyMeasurement,cilia_per_cell,single,QuantityValue,Number of cilia per cell
CiliaBeatFrequencyMeasurement,ciliary_motion_patterns,single,string,Patterns of ciliary motion
CiliaBeatFrequencyMeasurement,description,single,string,A detailed description
CiliaBeatFrequencyMeasurement,id,single,uriorcurie,A unique identifier
CiliaBeatFrequencyMeasurement,imaging_protocol,single,ImagingProtocol,Imaging protocol and parameters
CiliaBeatFrequencyMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
CiliaBeatFrequencyMeasurement,method_assay,single,Assay,The method or assay used
CiliaBeatFrequencyMeasurement,percentage_ciliated_cells,single,QuantityValue,Percentage of cells that are ciliated
CiliaBeatFrequencyMeasurement,protocol_notes,single,string,Protocol or SOP notes
EGFRSignalingMeasurement,description,single,string,A detailed description
EGFRSignalingMeasurement,downstream_kinase_activation,single,string,"Activation levels of downstream kinases (ERK, AKT)"
EGFRSignalingMeasurement,egfr_phosphorylation,single,QuantityValue,"EGFR phosphorylation levels including phosphorylation site specificity (e.g., Y1173, Y1068)"
EGFRSignalingMeasurement,id,single,uriorcurie,A unique identifier
EGFRSignalingMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
EGFRSignalingMeasurement,ligand_expression_level,multiple,string,Expression levels of EGFR ligands
EGFRSignalingMeasurement,method_assay,single,Assay,The method or assay used
EGFRSignalingMeasurement,pathway_biomarker,multiple,string,Pathway-specific biomarker signatures
EGFRSignalingMeasurement,protocol_notes,single,string,Protocol or SOP notes
GeneExpressionMeasurement,description,single,string,A detailed description
GeneExpressionMeasurement,gene_expression_analysis,single,GeneExpressionAnalysis,Gene expression analysis methodology
GeneExpressionMeasurement,id,single,uriorcurie,A unique identifier
GeneExpressionMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
GeneExpressionMeasurement,method_assay,single,Assay,The method or assay used
GeneExpressionMeasurement,mrna_level,single,QuantityValue,mRNA expression level
GeneExpressionMeasurement,percentage_positive_cells,single,QuantityValue,Percentage of positive cells
GeneExpressionMeasurement,protein_level,single,QuantityValue,Protein expression level
GeneExpressionMeasurement,protocol_notes,single,string,Protocol or SOP notes
GeneExpressionMeasurement,staining_protocol,single,StainingProtocol,Staining protocol details
GobletCellMeasurement,description,single,string,A detailed description
GobletCellMeasurement,dose_response_data,single,string,Dose-response relationship data
GobletCellMeasurement,gene_expression_analysis,single,GeneExpressionAnalysis,Gene expression analysis methodology
GobletCellMeasurement,goblet_cell_count,single,QuantityValue,Number or percentage of goblet cells (include both raw counts and relative percentages)
GobletCellMeasurement,id,single,uriorcurie,A unique identifier
GobletCellMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
GobletCellMeasurement,method_assay,single,Assay,The method or assay used
GobletCellMeasurement,mucin_expression_level,single,QuantityValue,"Level of mucin gene or protein expression (e.g., MUC5AC to MUC5B ratio)"
GobletCellMeasurement,mucin_protein_concentration,single,QuantityValue,"Concentration of mucin protein (both direct quantification and comparative measures, e.g., percent solids from apical secretion)"
GobletCellMeasurement,pathway_enrichment_score,multiple,string,Enrichment scores for biological pathways
GobletCellMeasurement,protocol_notes,single,string,Protocol or SOP notes
GobletCellMeasurement,staining_protocol,single,StainingProtocol,Staining protocol details
LungFunctionMeasurement,bronchodilator_response,single,QuantityValue,Response to bronchodilator
LungFunctionMeasurement,decline_rate,single,QuantityValue,Longitudinal decline rate
LungFunctionMeasurement,description,single,string,A detailed description
LungFunctionMeasurement,dlco,single,QuantityValue,Diffusing capacity of the lung for carbon monoxide
LungFunctionMeasurement,fef25_75,single,QuantityValue,Forced expiratory flow 25-75%
LungFunctionMeasurement,feno,single,QuantityValue,Fractional exhaled nitric oxide
LungFunctionMeasurement,fev1,single,QuantityValue,Forced expiratory volume in 1 second
LungFunctionMeasurement,fev1_fvc_ratio,single,QuantityValue,Ratio of FEV1 to FVC
LungFunctionMeasurement,fvc,single,QuantityValue,Forced vital capacity
LungFunctionMeasurement,id,single,uriorcurie,A unique identifier
LungFunctionMeasurement,input_sample,single,InputSample,Description of input samples and manipulations
LungFunctionMeasurement,method_assay,single,Assay,The method or assay used
LungFunctionMeasurement,protocol_notes,single,string,Protocol or SOP notes
Measurement,description,single,string,A detailed description
Measurement,id,single,uriorcurie,A unique identifier
Measurement,input_sample,single,InputSample,Description of input samples and manipulations
Measurement,method_assay,single,Assay,The method or assay used
Measurement,protocol_notes,single,string,Protocol or SOP notes
MucinProductionMeasurement,description,single,string,A detailed description
