MeasurementClassName,AttributeName,Cardinality,Range,Description,SlotRestrictions
CFTRFunctionMeasurement,id,single,uriorcurie,A unique identifier,
CFTRFunctionMeasurement,description,single,string,A detailed description,
CFTRFunctionMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
CFTRFunctionMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
CFTRFunctionMeasurement,protocol_notes,single,string,Protocol or SOP notes,
CFTRFunctionMeasurement,cftr_specific_current,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",CFTR-mediated chloride secretory current,
CFTRFunctionMeasurement,inhibitor_sensitive_current,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Inhibitor-sensitive current measurement,
CFTRFunctionMeasurement,cell_culture_details,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/CellCultureConditions/"",""CellCultureConditions"")",Detailed cell culture conditions,
BALFSputumMeasurement,id,single,uriorcurie,A unique identifier,
BALFSputumMeasurement,description,single,string,A detailed description,
BALFSputumMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
BALFSputumMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
BALFSputumMeasurement,protocol_notes,single,string,Protocol or SOP notes,
BALFSputumMeasurement,sample_collection_details,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/SampleCollection/"",""SampleCollection"")",Sample collection protocol details,
BALFSputumMeasurement,inflammatory_cell_profile,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InflammatoryCellProfile/"",""InflammatoryCellProfile"")",Inflammatory cell type profile,
BALFSputumMeasurement,microbiome_analysis,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/MicrobiomeAnalysis/"",""MicrobiomeAnalysis"")",Microbiome composition analysis,
BALFSputumMeasurement,cytokine_levels,multiple,string,Cytokine and chemokine levels,
BALFSputumMeasurement,protein_concentration,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Total protein concentration,
BALFSputumMeasurement,cell_free_dna,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Cell-free DNA measurement,
LungFunctionMeasurement,id,single,uriorcurie,A unique identifier,
LungFunctionMeasurement,description,single,string,A detailed description,
LungFunctionMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
LungFunctionMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
LungFunctionMeasurement,protocol_notes,single,string,Protocol or SOP notes,
LungFunctionMeasurement,fev1,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Forced expiratory volume in 1 second,
LungFunctionMeasurement,fvc,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Forced vital capacity,
LungFunctionMeasurement,fev1_fvc_ratio,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Ratio of FEV1 to FVC,
LungFunctionMeasurement,fef25_75,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Forced expiratory flow 25-75%,
LungFunctionMeasurement,bronchodilator_response,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Response to bronchodilator,
LungFunctionMeasurement,decline_rate,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Longitudinal decline rate,
LungFunctionMeasurement,dlco,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Diffusing capacity of the lung for carbon monoxide,
LungFunctionMeasurement,feno,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Fractional exhaled nitric oxide,
EGFRSignalingMeasurement,id,single,uriorcurie,A unique identifier,
EGFRSignalingMeasurement,description,single,string,A detailed description,
EGFRSignalingMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
EGFRSignalingMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
EGFRSignalingMeasurement,protocol_notes,single,string,Protocol or SOP notes,
EGFRSignalingMeasurement,egfr_phosphorylation,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",EGFR phosphorylation levels,
EGFRSignalingMeasurement,downstream_kinase_activation,single,string,Activation levels of downstream kinases (ERK, AKT),
EGFRSignalingMeasurement,ligand_expression_levels,multiple,string,Expression levels of EGFR ligands,
EGFRSignalingMeasurement,pathway_biomarkers,multiple,string,Pathway-specific biomarker signatures,
TranscriptionFactorExpressionMeasurement,id,single,uriorcurie,A unique identifier,
TranscriptionFactorExpressionMeasurement,description,single,string,A detailed description,
TranscriptionFactorExpressionMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
TranscriptionFactorExpressionMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
TranscriptionFactorExpressionMeasurement,protocol_notes,single,string,Protocol or SOP notes,
TranscriptionFactorExpressionMeasurement,mrna_level,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",mRNA expression level,
TranscriptionFactorExpressionMeasurement,protein_level,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Protein expression level,
TranscriptionFactorExpressionMeasurement,percentage_positive_cells,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Percentage of positive cells,
TranscriptionFactorExpressionMeasurement,staining_protocol,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/StainingProtocol/"",""StainingProtocol"")",Staining protocol details,
TranscriptionFactorExpressionMeasurement,gene_expression_analysis,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/GeneExpressionAnalysis/"",""GeneExpressionAnalysis"")",Gene expression analysis methodology,
CiliaBeatFrequencyMeasurement,id,single,uriorcurie,A unique identifier,
CiliaBeatFrequencyMeasurement,description,single,string,A detailed description,
CiliaBeatFrequencyMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
CiliaBeatFrequencyMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
CiliaBeatFrequencyMeasurement,protocol_notes,single,string,Protocol or SOP notes,
CiliaBeatFrequencyMeasurement,beat_frequency_hz,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Ciliary beat frequency in Hz,
CiliaBeatFrequencyMeasurement,active_area_percentage,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Percentage of active ciliated area,
CiliaBeatFrequencyMeasurement,imaging_protocol,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ImagingProtocol/"",""ImagingProtocol"")",Imaging protocol and parameters,
CiliaBeatFrequencyMeasurement,cilia_per_cell,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Number of cilia per cell,
CiliaBeatFrequencyMeasurement,cilia_length,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Length of cilia,
CiliaBeatFrequencyMeasurement,percentage_ciliated_cells,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Percentage of cells that are ciliated,
CiliaBeatFrequencyMeasurement,ciliary_motion_patterns,single,string,Patterns of ciliary motion,
CiliaBeatFrequencyMeasurement,cell_type_ratios,single,string,Ratios between different cell types,
ASLHeightMeasurement,id,single,uriorcurie,A unique identifier,
ASLHeightMeasurement,description,single,string,A detailed description,
ASLHeightMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
ASLHeightMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
ASLHeightMeasurement,protocol_notes,single,string,Protocol or SOP notes,
ASLHeightMeasurement,asl_height_um,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Airway surface liquid height in micrometers,
ASLHeightMeasurement,periciliary_layer_depth,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Depth of periciliary layer in micrometers,
ASLHeightMeasurement,imaging_protocol,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ImagingProtocol/"",""ImagingProtocol"")",Imaging protocol and parameters,
ASLHeightMeasurement,ion_composition,single,string,"Ionic composition (Cl⁻, Na⁺, K⁺)",
ASLHeightMeasurement,fluorescent_labeling,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/FluorescentLabel/"",""FluorescentLabel"")",Fluorescent label or tracer used,
ASLHeightMeasurement,evaporation_prevention,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/EvaporationControl/"",""EvaporationControl"")",Method used to prevent evaporation,
MucociliaryClearanceMeasurement,id,single,uriorcurie,A unique identifier,
MucociliaryClearanceMeasurement,description,single,string,A detailed description,
MucociliaryClearanceMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
MucociliaryClearanceMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
MucociliaryClearanceMeasurement,protocol_notes,single,string,Protocol or SOP notes,
MucociliaryClearanceMeasurement,transport_rate,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Mucociliary transport rate,
MucociliaryClearanceMeasurement,directionality,single,string,Directionality of mucociliary transport,
MucociliaryClearanceMeasurement,particle_tracking_method,single,string,Method used for tracking particles or mucus,
MucociliaryClearanceMeasurement,fluorescent_tracers,multiple,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/FluorescentLabel/"",""FluorescentLabel"")",Fluorescent tracers used for tracking,
MucociliaryClearanceMeasurement,mucus_layer_thickness,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Thickness of mucus layer,
MucociliaryClearanceMeasurement,bacterial_biofilm_details,single,string,Details about bacterial biofilm preparation and characteristics,
MucociliaryClearanceMeasurement,viral_infection_details,single,string,Details about viral infection protocol,
MucociliaryClearanceMeasurement,biofilm_clearance_rate,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Rate of bacterial biofilm clearance,
MucociliaryClearanceMeasurement,bacterial_load,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Bacterial load (CFU or similar),
MucociliaryClearanceMeasurement,viral_spread_rate,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Rate of viral spread,
GobletCellMeasurement,id,single,uriorcurie,A unique identifier,
GobletCellMeasurement,description,single,string,A detailed description,
GobletCellMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
GobletCellMeasurement,method_assay,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used,
GobletCellMeasurement,protocol_notes,single,string,Protocol or SOP notes,
GobletCellMeasurement,goblet_cell_count,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Number or percentage of goblet cells,
GobletCellMeasurement,mucin_expression_level,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Level of mucin gene or protein expression,
GobletCellMeasurement,staining_protocol,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/StainingProtocol/"",""StainingProtocol"")",Staining protocol details,
GobletCellMeasurement,gene_expression_analysis,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/GeneExpressionAnalysis/"",""GeneExpressionAnalysis"")",Gene expression analysis methodology,
GobletCellMeasurement,mucin_protein_concentration,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Concentration of mucin protein,
GobletCellMeasurement,goblet_to_ciliated_ratio,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Ratio of goblet cells to ciliated cells,
GobletCellMeasurement,pathway_enrichment_scores,multiple,string,Enrichment scores for biological pathways,
GobletCellMeasurement,dose_response_data,single,string,Dose-response relationship data,
OxidativeStressMeasurement,id,single,uriorcurie,A unique identifier,
OxidativeStressMeasurement,description,single,string,A detailed description,
OxidativeStressMeasurement,input_sample,single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations,
