MeasurementClassName,AttributeName,Cardinality,Range,Description
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/asl_height_um/"",""asl_height_um"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Airway surface liquid height in micrometers
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/culture_density/"",""culture_density"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Cell culture density per square centimeter
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/culture_size/"",""culture_size"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Size of the culture well or surface area
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/description/"",""description"")",single,string,A detailed description
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/donor_characteristics/"",""donor_characteristics"")",single,string,"Characteristics of cell donors (e.g., disease state, age)"
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/evaporation_prevention/"",""evaporation_prevention"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/EvaporationControl/"",""EvaporationControl"")",Method used to prevent evaporation
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/id/"",""id"")",single,uriorcurie,A unique identifier
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/imaging_protocol/"",""imaging_protocol"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ImagingProtocol/"",""ImagingProtocol"")",Imaging protocol and parameters
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/input_sample/"",""input_sample"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/method_assay/"",""method_assay"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/number_of_samples/"",""number_of_samples"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/integer/"",""integer"")",Number of sampling areas or technical replicates
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/periciliary_layer_depth/"",""periciliary_layer_depth"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Depth of periciliary layer (liquid around the cilia) in micrometers - low depth indicates disease phenotype
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/protocol_notes/"",""protocol_notes"")",single,string,Protocol or SOP notes
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/sampling_duration/"",""sampling_duration"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Duration of the sampling period
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/sampling_method/"",""sampling_method"")",single,string,Method for sampling areas of the culture
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/ASLHeightMeasurement/"",""ASLHeightMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/timing_from_wash/"",""timing_from_wash"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Time elapsed since last apical wash
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/cell_free_dna/"",""cell_free_dna"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Cell-free DNA measurement
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/cytokine_level/"",""cytokine_level"")",multiple,string,Cytokine and chemokine levels
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/description/"",""description"")",single,string,A detailed description
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/id/"",""id"")",single,uriorcurie,A unique identifier
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/inflammatory_cell_profile/"",""inflammatory_cell_profile"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InflammatoryCellProfile/"",""InflammatoryCellProfile"")",Inflammatory cell type profile
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/input_sample/"",""input_sample"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/InputSample/"",""InputSample"")",Description of input samples and manipulations
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/method_assay/"",""method_assay"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/Assay/"",""Assay"")",The method or assay used
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/microbiome_analysis/"",""microbiome_analysis"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/MicrobiomeAnalysis/"",""MicrobiomeAnalysis"")",Microbiome composition analysis
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/protein_concentration/"",""protein_concentration"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/QuantityValue/"",""QuantityValue"")",Total protein concentration
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/protocol_notes/"",""protocol_notes"")",single,string,Protocol or SOP notes
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/BALFSputumMeasurement/"",""BALFSputumMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/sample_collection_details/"",""sample_collection_details"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/SampleCollection/"",""SampleCollection"")",Sample collection protocol details
"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/CFTRFunctionMeasurement/"",""CFTRFunctionMeasurement"")","=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/cell_culture_details/"",""cell_culture_details"")",single,"=HYPERLINK(""https://ehs-data-standards.github.io/outcomes-working-group/elements/CellCultureConditions/"",""CellCultureConditions"")",Detailed cell culture conditions
